Year,Country,Region,Commodity,Commodity_Group,Supply_Chain_Stage,Loss_Percentage,Production_Tonnes_000,Loss_Tonnes_000,Source
2020,USA,North America,Vegetables,Fruits and Vegetables,Retail,9.8,36200,3548,FAO SDG 12.3.1
2020,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,31.5,10500,3308,FAO SDG 12.3.1
2020,Oman,Middle East,Fruits,Fruits and Vegetables,Post-harvest,16.8,380,64,FAO SDG 12.3.1
2021,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,18.8,104320,19612,FAO SDG 12.3.1
2021,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,13.5,197890,26715,FAO SDG 12.3.1
2021,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.8,320450,28200,FAO SDG 12.3.1
2021,USA,North America,Fruits,Fruits and Vegetables,Retail,10.8,26800,2894,FAO SDG 12.3.1
2021,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,22.8,42300,9645,FAO SDG 12.3.1
2021,Nigeria,Sub-Saharan Africa,Vegetables,Fruits and Vegetables,Post-harvest,30.2,13200,3986,FAO SDG 12.3.1
2022,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,18.1,107200,19403,FAO SDG 12.3.1
2022,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,13.0,200100,26013,FAO SDG 12.3.1
2022,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.5,325200,27642,FAO SDG 12.3.1
2022,USA,North America,Fruits,Fruits and Vegetables,Retail,10.2,27100,2764,FAO SDG 12.3.1
2022,USA,North America,Vegetables,Fruits and Vegetables,Retail,9.1,37200,3385,FAO SDG 12.3.1
2022,Oman,Middle East,Fruits,Fruits and Vegetables,Post-harvest,14.9,395,59,FAO SDG 12.3.1
2023,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,17.6,109800,19324,FAO SDG 12.3.1
2023,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.2,330100,27068,FAO SDG 12.3.1
2023,USA,North America,Fruits,Fruits and Vegetables,Retail,9.8,27500,2695,FAO SDG 12.3.1
2023,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,28.5,11200,3192,FAO SDG 12.3.1
2023,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,21.2,43100,9137,FAO SDG 12.3.1
