Year,Country,Region,Commodity,Commodity_Group,Supply_Chain_Stage,Loss_Percentage,Production_Tonnes_000,Loss_Tonnes_000,Source,Avg_Temp_C,Temp_Anomaly_C,Avg_Humidity_Pct,Annual_Precip_mm,Extreme_Heat_Days,LPI_Overall,LPI_Infrastructure,LPI_Timeliness,Cyber_Count,Supply_Disruptions
2020,China,East Asia,Fruits,Fruits and Vegetables,Processing,9.2,316460,29114,FAO SDG 12.3.1,11.8,1.12,62.8,670.0,36.0,3.66,3.75,3.9,2.0,2.0
2020,USA,North America,Fruits,Fruits and Vegetables,Retail,11.3,26100,2949,FAO SDG 12.3.1,13.0,1.42,64.5,755.0,40.0,3.99,4.15,4.25,2.0,2.0
2020,USA,North America,Vegetables,Fruits and Vegetables,Retail,9.8,36200,3548,FAO SDG 12.3.1,13.0,1.42,64.5,755.0,40.0,3.99,4.15,4.25,2.0,2.0
2020,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,31.5,10500,3308,FAO SDG 12.3.1,27.4,0.88,73.0,1160.0,59.0,2.63,2.4,3.04,2.0,2.0
2020,Oman,Middle East,Fruits,Fruits and Vegetables,Post-harvest,16.8,380,64,FAO SDG 12.3.1,29.3,0.72,46.1,85.0,98.0,3.23,3.44,3.38,2.0,2.0
2021,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,18.8,104320,19612,FAO SDG 12.3.1,25.2,0.68,68.5,1088.0,43.0,3.42,3.34,3.74,6.0,5.0
2021,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,13.5,197890,26715,FAO SDG 12.3.1,25.2,0.68,68.5,1088.0,43.0,3.42,3.34,3.74,6.0,5.0
2021,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.8,320450,28200,FAO SDG 12.3.1,11.9,1.18,62.2,665.0,35.0,3.66,3.75,3.9,6.0,5.0
2021,USA,North America,Fruits,Fruits and Vegetables,Retail,10.8,26800,2894,FAO SDG 12.3.1,13.1,1.48,64.2,740.0,42.0,3.99,4.15,4.25,6.0,5.0
2021,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,22.8,42300,9645,FAO SDG 12.3.1,25.1,0.88,75.5,1700.0,46.0,3.09,3.11,3.39,6.0,5.0
2021,Nigeria,Sub-Saharan Africa,Vegetables,Fruits and Vegetables,Post-harvest,30.2,13200,3986,FAO SDG 12.3.1,,,,,,2.63,2.4,3.04,6.0,5.0
2022,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,18.1,107200,19403,FAO SDG 12.3.1,25.5,0.92,69.5,1110.0,48.0,3.42,3.34,3.74,2.0,2.0
2022,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,13.0,200100,26013,FAO SDG 12.3.1,25.5,0.92,69.5,1110.0,48.0,3.42,3.34,3.74,2.0,2.0
2022,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.5,325200,27642,FAO SDG 12.3.1,12.0,1.25,61.5,640.0,40.0,3.66,3.75,3.9,2.0,2.0
2022,USA,North America,Fruits,Fruits and Vegetables,Retail,10.2,27100,2764,FAO SDG 12.3.1,13.2,1.55,63.8,720.0,44.0,3.99,4.15,4.25,2.0,2.0
2022,USA,North America,Vegetables,Fruits and Vegetables,Retail,9.1,37200,3385,FAO SDG 12.3.1,13.2,1.55,63.8,720.0,44.0,3.99,4.15,4.25,2.0,2.0
2022,Oman,Middle East,Fruits,Fruits and Vegetables,Post-harvest,14.9,395,59,FAO SDG 12.3.1,29.5,0.85,46.8,78.0,101.0,3.23,3.44,3.38,2.0,2.0
2023,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,17.6,109800,19324,FAO SDG 12.3.1,25.7,1.05,70.0,1125.0,51.0,3.42,3.34,3.74,3.0,2.0
2023,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.2,330100,27068,FAO SDG 12.3.1,12.1,1.32,62.0,650.0,42.0,3.66,3.75,3.9,3.0,2.0
2023,USA,North America,Fruits,Fruits and Vegetables,Retail,9.8,27500,2695,FAO SDG 12.3.1,13.4,1.72,63.5,710.0,46.0,3.99,4.15,4.25,3.0,2.0
2023,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,28.5,11200,3192,FAO SDG 12.3.1,27.6,1.02,74.0,1180.0,63.0,2.63,2.4,3.04,3.0,2.0
2023,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,21.2,43100,9137,FAO SDG 12.3.1,25.5,1.05,76.5,1780.0,52.0,3.09,3.11,3.39,3.0,2.0
