Incident_ID,Incident_Date,Publication_Date,Source_Name,Source_Type,Source_Link,Country_of_Origin,Exporting_Country,Importing_Country,Product_Name,Product_Type,Cold_Chain_Type,Temperature_Requirement,Actual_Temperature_Deviation,Shipment_Mode,Vessel_Type,Container_Type,Refrigeration_Technology,Port_of_Origin,Port_of_Destination,Location_of_Failure,Stage_of_Supply_Chain,Cause_of_Spoilage,Failure_Type,Duration_of_Exposure,Quantity_Lost,Economic_Loss_USD,Environmental_Conditions,Monitoring_System,Alert_Response_Action,Insurance_Claim_Status,Regulatory_Findings,Data_Reliability_Score,Year,Month,Quarter,Economic_Loss_Numeric,Risk_Score
RASFF-AGG-001,2022-12-31,2024-01-15,EU RASFF / ScienceDirect (Fish contamination analysis 2000-2022),Academic Analysis of RASFF Database,https://www.sciencedirect.com/science/article/abs/pii/S095671352400121X,ES,ES,NA,Tuna and Swordfish,Seafood,Chilled,0,NA,Maritime/Road,NA,NA,NA,NA,NA,EU Border Inspection Points,Import/Border Control,Poor temperature control during transport; histamine formation,Temperature Control Failure,NA,"6808 notifications total (fish) over 2000-2022; 37% rejected at border, 41.1% due to temperature",NA,NA,NA,Border rejection / product destruction,NA,"Spain most notified origin (14.66%), Vietnam (7.70%), Morocco (5.35%)",High,2022,12,4,NA,4
FAO-2022-001,2022-11-07,2022-11-07,FAO/UNEP Sustainable Food Cold Chains Report 2022,International Organization Report,https://www.unep.org/resources/report/sustainable-food-cold-chains-opportunities-challenges-and-way-forward,NA,NA,NA,All Perishable Foods,Mixed Perishables,Chilled/Frozen,NA,NA,All Modes,NA,NA,NA,NA,NA,Global (developing countries primary),Post-Harvest to Retail,Lack of cold chain infrastructure; 526 million tonnes lost annually (12% of global production),Infrastructure Gap,NA,526000000 tonnes annually,936000000000,NA,NA,NA,NA,Developing countries could save 144 million tonnes annually with adequate cold chains,High,2022,11,4,9.3611,5
WB-NGA-2023-001,2023-06-30,2023-08-15,World Bank / BusinessDay Nigeria,Government/Media Report citing official statistics,https://businessday.ng/agriculture/article/nigeria-can-tackle-n3-5trn-post-harvest-losses-with-effective-cold-chain/,NG,NG,NA,"Fish, Vegetables, Fruits, Dairy, Root Crops",Mixed Perishables,Chilled/Frozen,NA,NA,Road/Local,NA,NA,Rudimentary / None,NA,NA,Nigeria — post-harvest to market,Post-Harvest Handling and Distribution,Absence of cold chain infrastructure; 30-40 million metric tonnes lost per year,Infrastructure Gap,NA,30000000-40000000 tonnes/year,4300000000,"Tropical climate, high ambient temperatures",None / Manual,NA,NA,N3.5-5 trillion in annual losses,Medium,2023,6,2,4.309,4
FAO-ETH-2023-001,2023-01-15,2023-06-01,FAO / Fisheries and Aquatic Sciences Journal,Academic Journal (peer-reviewed),https://www.e-fas.org/archive/view_article?pid=fas-28-1-30,ET,ET,NA,"Nile Tilapia, African Catfish, Carp",Freshwater Fish,Chilled,0,NA,Road/Local,NA,NA,None / Ice-based,NA,NA,Ethiopia — Lake Tana region,Post-Harvest / Local Distribution,"Lack of cold chain; carp 20.09% loss, catfish 17.31%, tilapia 10.8%; overall 33.3% loss",Infrastructure Gap,NA,33.3% of catch,NA,Tropical highland,NA,NA,NA,NA,Medium,2023,1,1,NA,4
FAO-TZA-2022-001,2022-06-30,2023-01-15,FAO Fish Value Chains / Academic Research,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/overview/food-loss-and-waste-in-fish-value-chains/en/,TZ,TZ,NA,Nile Perch,Freshwater Fish,Chilled,0,NA,Road/Local,NA,NA,Ice-based / None,NA,NA,Tanzania — Bagamoyo district / Lake Victoria value chain,Post-Harvest / Processing,"Underdeveloped cold chain; 31% value chain loss (12.1% quality, 18.9% physical); 10% per season spoilage",Infrastructure Gap,NA,31% of value chain,NA,Tropical,NA,NA,NA,NA,Medium,2022,6,2,NA,4
FAO-UGA-2022-001,2022-06-30,2023-01-15,FAO Fish Value Chains,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/overview/food-loss-and-waste-in-fish-value-chains/en/,UG,UG,NA,Nile Perch (artisanal catch),Freshwater Fish,Chilled,0,NA,Local/Road,NA,NA,None / Ice-based,NA,NA,Uganda — Lake Victoria artisanal fisheries,Post-Harvest,Lack of cold chain infrastructure; 25-30% of total catch lost,Infrastructure Gap,NA,25-30% of catch,NA,Tropical,NA,NA,NA,NA,Medium,2022,6,2,NA,4
FAO-MWI-2022-001,2022-12-31,2020-09-01,ScienceDirect / Malawi Fisheries Policy,Academic Journal (peer-reviewed),https://www.sciencedirect.com/science/article/pii/S0305750X14002307,MW,MW,NA,Freshwater Fish,Freshwater Fish,Chilled,0,NA,Local/Road,NA,NA,Rudimentary / Sun-drying,NA,NA,Malawi — nationwide fish value chain,Post-Harvest / Processing,Inadequate cold storage; estimated 40% post-harvest loss,Infrastructure Gap,NA,40% of harvest,NA,Tropical / Sub-tropical,NA,Government policy target to reduce to 20%,NA,2016 National Fisheries and Aquaculture Policy,Medium,2022,12,4,NA,4
FAO-IDN-2020-001,2020-04-30,2021-03-01,FAO / Indonesia Fishery Product Processing and Marketing Association,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/value-chain/processing-storage/cold-storage/services-infrastructure/en/,ID,ID,NA,Fishery Products (mixed),Seafood,Chilled/Frozen,NA,NA,Maritime/Road,NA,NA,NA,NA,NA,Indonesia — nationwide,Processing / Distribution,COVID-19 caused 80% drop in demand; cold storage overwhelmed; fish loss and waste increased significantly,Demand Collapse / Cold Storage Overflow,NA,NA,NA,Tropical,NA,NA,NA,NA,High,2020,4,2,NA,3
WB-IND-2023-001,2023-06-30,2021-11-01,World Bank Cold Chains in Developing Economies Report,International Organization Report,https://documents1.worldbank.org/curated/en/768601637124616069/pdf/Cold-Chains-in-Developing-Economies-A-Techno-Socio-Economic-Structural-Development-Challenge-Background-Paper.pdf,IN,IN,NA,"Fresh Produce (fruits, vegetables)",Fruits and Vegetables,Chilled,4,NA,Road/Rail,NA,NA,Insufficient / Fragmented,NA,NA,India — post-harvest to market chain,Post-Harvest / Distribution,Inadequate refrigeration and transport; 30-40% of fresh produce lost post-harvest,Infrastructure Gap,NA,30-40% of fresh produce,NA,Tropical / Sub-tropical,Limited,Refrigerated warehouse capacity expanded 35% (2020-2024),NA,NA,High,2023,6,2,NA,5
FAO-MENA-2023-001,2023-06-30,2024-01-15,Logistics Middle East / FAO Data,Industry Report citing FAO statistics,https://www.logisticsmiddleeast.com/supply-chain/food-logistics-is-the-middle-easts-most-exposed-supply-chain,NA,NA,NA,Temperature-sensitive food produce,Mixed Perishables,Chilled/Frozen,NA,NA,Maritime/Road,NA,NA,NA,NA,NA,Middle East and North Africa region,Post-Harvest to Retail,Cold chain fragility; 15% of food lost between post-harvest and retail in MENA region,Infrastructure Gap / Handling Failure,NA,15% of food produced in MENA,NA,Arid / Hot climate,NA,NA,NA,NA,Medium,2023,6,2,NA,5
FAO-SOM-YEM-2023-001,2023-06-30,2023-09-25,Maersk/FAO Africa Food Chain Report,Industry Report citing official data,https://www.maersk.com/insights/growth/2023/09/25/africa-food-chain,NA,NA,NA,Fish (marine catch),Seafood,Chilled,0,NA,Local/Road,NA,NA,NA,NA,NA,Somalia and Yemen — landing sites to markets,Post-Harvest,Complete absence of refrigeration; large share of fish spoils before reaching market,No Cold Chain,NA,NA,NA,Hot arid climate,NA,NA,NA,NA,Medium,2023,6,2,NA,4
US-2022-001,2022-07-15,2023-01-10,Industry Report / Sensitech / FDA,Industry Report,https://www.sensitech.com/en/blog/blog-articles/blog-reducing-loss-cold-chain.html,US,US,US,Fresh Seafood,Seafood,Chilled,0,NA,Road (cross-country),NA,Refrigerated Truck,Mechanical Refrigeration,NA,NA,United States — cross-country shipment,Road Transport,Refrigeration system malfunction; temperatures rose above safe levels for 6 hours,Equipment Malfunction,6 hours,Total loss of shipment,280000,NA,NA,NA,NA,NA,Medium,2022,7,3,280000,3
US-2023-001,2023-09-20,2024-02-01,Industry Report / Food Safety Magazine,Industry Report,https://www.food-safety.com/articles/10664-fda-sampling-finds-one-third-of-imported-ice-glazed-seafood-products-to-be-fraudulent,US,US,US,"Mixed Perishable Products (proteins, dairy)",Mixed Perishables,Chilled/Frozen,NA,NA,Storage/Distribution,NA,Distribution Center Cold Storage,Central Refrigeration System,NA,NA,United States — Midwest distribution center,Cold Storage / Distribution,Refrigeration system failure; temperatures rose above safe levels for 8 hours,Equipment Malfunction,8 hours,All perishable inventory disposed,3200000,NA,NA,Full inventory disposal,NA,NA,Medium,2023,9,3,3200000,3
MAR-2021-001,2021-02-17,2021-02-20,FreightWaves / Maersk,Maritime Incident Report,https://www.freightwaves.com/news/260-containers-lost-65-damaged-in-maersk-eindhoven-at-sea-mishap,CN,CN,US,Mixed cargo (including reefer containers),Mixed (including perishables),NA,NA,NA,Maritime,Container Ship (Maersk Eindhoven),Mixed (including 40ft reefers),NA,"Xiamen, China","Los Angeles, USA",North Pacific Ocean (off Japan coast),Maritime Transport,"Engine failure in severe weather; 260 containers lost overboard, 65 damaged",Vessel Casualty / Severe Weather,NA,"260 containers lost, 65 damaged",NA,"Severe weather, heavy seas",NA,Vessel diverted,Claimed,NA,High,2021,2,1,NA,NA
EU-IND-2023-001,2023-12-31,2024-06-01,The Fish Site / EU RASFF,Regulatory Agency Data,https://thefishsite.com/articles/indias-shrimp-exports-hit-by-eu-rejections,IN,IN,NA,Shrimp,Seafood,Frozen,-18,NA,Maritime,Container Ship,Reefer Container,NA,NA,NA,EU border inspection points,Import/Border Control,Antibiotic residues + temperature control violations; 50% inspection failure rate in 2023,Quality Control Failure / Contamination,NA,NA,NA,NA,NA,100% pre-export testing required; 50% import testing,NA,EU intensified testing maintained into 2024,High,2023,12,4,NA,5
GEO-2024-001,2024-01-15,2024-02-01,Seatrade Maritime / DHL Reefer Market Update,Industry Report,https://www.dhl.com/content/dam/dhl/global/dhl-global-forwarding/documents/pdf/dhl-dgf-ofr-reefer-market-update.pdf,NA,NA,NA,Perishable Goods (various),Mixed Perishables,Chilled/Frozen,NA,NA,Maritime,Container Ship,Reefer Container,Integral Reefer Unit,NA,NA,Red Sea / Suez Canal route,Maritime Transport,Red Sea conflict forced rerouting via Cape of Good Hope; extended transit times increasing spoilage risk for perishables,Geopolitical Disruption / Extended Transit,Additional 10-14 days transit,NA,NA,NA,NA,CMA CGM Emergency Operation Surcharge: $1200-2000/container,NA,MSC and CMA CGM suspended Red Sea transits,High,2024,1,1,NA,3
FAO-SSA-2024-001,2024-06-30,2024-03-15,Wiley / Aquaculture Fish and Fisheries Journal (Abelti 2024),Academic Journal (peer-reviewed),https://onlinelibrary.wiley.com/doi/10.1002/aff2.168,NA,NA,NA,Fish and Seafood (artisanal),Seafood,Chilled,0,NA,Local/Road,NA,NA,None / Rudimentary,NA,NA,Sub-Saharan Africa — multiple countries,Post-Harvest,Underdeveloped cold chains; 25%+ of fish harvest lost post-harvest; 35% lost at post-harvest level; quality losses 20-40%,Infrastructure Gap,NA,25-35% of fish harvest,NA,Tropical,NA,NA,NA,600 million people in SSA lack regular electricity access,High,2024,6,2,NA,5
ALZ-2023-001,2023-12-31,2023-10-01,Allianz Safety and Shipping Review 2023,Insurance Industry Report,https://www.seatrade-maritime.com/containers/dangerous-cargoes-and-container-ship-fires-back-in-the-spotlight,NA,NA,NA,Mixed cargo (reefer containers involved),Mixed,NA,NA,NA,Maritime,Container Ship,Mixed (including reefer),NA,NA,NA,Global — at sea,Maritime Transport,Container fires; 64 fires on containerships in 5 years; one fire every 9 days in 2023; often originating with hazardous or misdeclared cargo including reefer containers,Fire / Container Casualty,NA,64 fires over 5 years,NA,NA,NA,New SOLAS mandatory container loss reporting effective Jan 2026,NA,TT Club estimates serious fire every 60 days,High,2023,12,4,NA,NA
ACAD-KOR-2025-001,2024-12-31,2025-02-15,Nature Scientific Reports,Academic Journal (peer-reviewed),https://www.nature.com/articles/s41598-025-13156-3,KR,KR,NA,Fruits,Fruits,Chilled,2,NA,Road/Distribution,NA,Refrigerated Truck,Mechanical Refrigeration,NA,NA,South Korea — transport/distribution chain,Transport / Distribution,"Cold chain losses in transport/distribution; 20.8% loss rate overall, 35% for fruits",Temperature Control Failure,NA,35% of fruit in transport,NA,NA,NA,NA,NA,NA,High,2024,12,4,NA,2
IND-EA-2025-001,2024-12-31,2025-08-19,Maersk Insights / East Africa Agricultural Logistics,Industry Report,https://www.maersk.com/insights/growth/2025/08/19/agricultural-logistics-in-east-africa,TZ,TZ,NA,Agricultural exports (horticultural products),Fruits and Vegetables,Chilled,4,NA,Maritime,Container Ship,Reefer Container,NA,Dar es Salaam,NA,East Africa — inland to port cold chain,Inland Transport / Port Handling,Unreliable inland cold chain networks despite port upgrades; timing and inspection scheduling weaknesses,Infrastructure Gap / Logistics Delay,NA,NA,NA,Tropical,NA,Dar es Salaam and Mtwara ports upgraded refrigerated storage,NA,NA,Medium,2024,12,4,NA,6
ACAD-TUR-2022-001,2022-12-31,2020-01-15,PMC / Food Safety in MENA (peer-reviewed),Academic Journal (peer-reviewed),https://pmc.ncbi.nlm.nih.gov/articles/PMC6982137/,TR,TR,NA,"Milk, Meat, Vegetable Oils",Dairy and Meat,Chilled,4,NA,Road,NA,NA,NA,NA,NA,Turkey — domestic supply chain,Processing / Distribution,Over 4000 food fraud incidents (7000+ adulteration cases) documented 2012-2022 including temperature abuse of perishables,Quality Control Failure / Fraud,NA,4000+ incidents,NA,NA,NA,NA,NA,NA,Medium,2022,12,4,NA,1
IND-STR-2022-001,2022-06-15,2022-10-01,IDENTEC Solutions / Cold Chain Industry Report,Industry Report,https://www.identecsolutions.com/news/container-damage-claim-and-the-cold-chain,NA,NA,NA,Strawberries,Fruits,Chilled,0 to 2,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,Global — maritime transport routes (COVID-era),Maritime Transport,COVID-19 spike in reefer container damage claims due to global transport delays; equipment failures and seal deterioration,Equipment Failure / Logistics Delay,NA,NA,NA,NA,Manual (1-2 checks per shift),NA,NA,NA,Medium,2022,6,2,NA,3
FDA-IND-2024-001,2024-12-31,2025-01-15,US FDA / Southern Shrimp Alliance,Regulatory Agency Data,https://shrimpalliance.com/food-regulatory-authorities-in-the-eu-japan-and-the-united-states-once-again-confirm-that-india-and-vietnam-continue-to-use-banned-antibiotics-in-their-shrimp-aquaculture/,IN,IN,US,Shrimp,Seafood,Frozen,-18,NA,Maritime,Container Ship,Reefer Container,NA,NA,NA,US border inspection,Import/Border Control,"FDA refusals hit 9-year high: 81 entry lines refused, 31 from India, 18 from Vietnam; antibiotic contamination + cold chain concerns",Quality Control Failure,NA,81 entry lines refused,NA,NA,NA,Intensified FDA testing,NA,9-year high in FDA refusals for antibiotic-tainted shrimp,High,2024,12,4,NA,5
